Afore,Anio,value
Afirme Bajio,2010,8.11
Azteca,2010,7.89
Citibanamex,2010,10.16
Bancomer,2010,8.52
Banorte Generali,2010,7.33
Coppel,2010,0.00
HSBC,2010,8.87
Inbursa,2010,8.35
Invercap,2010,0.00
Metlife,2010,0.00
PensionISSSTE,2010,0.00
Principal,2010,9.35
Profuturo,2010,8.59
SURA,2010,9.60
XXI Banorte,2010,9.33
Afirme Bajio,2011,8.11
Azteca,2011,7.08
Citibanamex,2011,9.09
Bancomer,2011,8.27
Banorte Generali,2011,7.07
Coppel,2011,0.00
HSBC,2011,8.45
Inbursa,2011,7.56
Invercap,2011,8.40
Metlife,2011,8.34
PensionISSSTE,2011,0.00
Principal,2011,8.73
Profuturo,2011,7.79
SURA,2011,8.99
XXI Banorte,2011,8.74
Afirme Bajio,2012,8.28
Azteca,2012,7.86
Citibanamex,2012,9.86
Bancomer,2012,9.03
Banorte Generali,2012,0.00
Coppel,2012,8.32
HSBC,2012,0.00
Inbursa,2012,7.24
Invercap,2012,9.06
Metlife,2012,8.81
PensionISSSTE,2012,0.00
Principal,2012,9.33
Profuturo,2012,8.65
SURA,2012,9.50
XXI Banorte,2012,9.25
Afirme Bajio,2013,7.89
Azteca,2013,8.09
Citibanamex,2013,9.71
Bancomer,2013,9.37
Banorte Generali,2013,0.00
Coppel,2013,7.98
HSBC,2013,0.00
Inbursa,2013,6.98
Invercap,2013,9.71
Metlife,2013,9.04
PensionISSSTE,2013,0.00
Principal,2013,9.61
Profuturo,2013,8.92
SURA,2013,9.95
XXI Banorte,2013,9.49
Afirme Bajio,2014,6.18
Azteca,2014,7.06
Citibanamex,2014,8.43
Bancomer,2014,0.00
Banorte Generali,2014,0.00
Coppel,2014,6.66
HSBC,2014,0.00
Inbursa,2014,6.32
Invercap,2014,8.73
Metlife,2014,8.00
PensionISSSTE,2014,8.87
Principal,2014,7.85
Profuturo,2014,8.60
SURA,2014,8.42
XXI Banorte,2014,7.97
Afirme Bajio,2015,0.00
Azteca,2015,7.87
Citibanamex,2015,8.17
Bancomer,2015,0.00
Banorte Generali,2015,0.00
Coppel,2015,7.25
HSBC,2015,0.00
Inbursa,2015,6.02
Invercap,2015,9.76
Metlife,2015,8.24
PensionISSSTE,2015,9.29
Principal,2015,8.01
Profuturo,2015,8.91
SURA,2015,9.06
XXI Banorte,2015,8.08
Afirme Bajio,2016,0.00
Azteca,2016,6.66
Citibanamex,2016,6.79
Bancomer,2016,0.00
Banorte Generali,2016,0.00
Coppel,2016,5.94
HSBC,2016,0.00
Inbursa,2016,5.28
Invercap,2016,7.26
Metlife,2016,6.66
PensionISSSTE,2016,7.55
Principal,2016,6.62
Profuturo,2016,7.40
SURA,2016,7.23
XXI Banorte,2016,6.64
Afirme Bajio,2017,0.00
Azteca,2017,5.46
Citibanamex,2017,5.17
Bancomer,2017,0.00
Banorte Generali,2017,0.00
Coppel,2017,4.82
HSBC,2017,0.00
Inbursa,2017,5.50
Invercap,2017,5.55
Metlife,2017,5.10
PensionISSSTE,2017,5.77
Principal,2017,4.88
Profuturo,2017,5.62
SURA,2017,5.79
XXI Banorte,2017,5.18
Afirme Bajio,2018,0.00
Azteca,2018,5.08
Citibanamex,2018,4.73
Bancomer,2018,0.00
Banorte Generali,2018,0.00
Coppel,2018,4.79
HSBC,2018,0.00
Inbursa,2018,5.68
Invercap,2018,4.22
Metlife,2018,4.53
PensionISSSTE,2018,5.21
Principal,2018,4.17
Profuturo,2018,5.05
SURA,2018,4.95
XXI Banorte,2018,4.63
Afirme Bajio,2019,0.00
Azteca,2019,5.88
Citibanamex,2019,5.25
Bancomer,2019,0.00
Banorte Generali,2019,0.00
Coppel,2019,6.06
HSBC,2019,0.00
Inbursa,2019,6.01
Invercap,2019,5.65
Metlife,2019,0.00
PensionISSSTE,2019,5.85
Principal,2019,5.43
Profuturo,2019,5.93
SURA,2019,5.88
XXI Banorte,2019,5.45
